Data,Dia da Semana,Feriado
01/01/2017,domingo,Confraternização Universal
27/02/2017,segunda-feira,Carnaval
28/02/2017,terça-feira,Carnaval
14/04/2017,sexta-feira,Paixão de Cristo
21/04/2017,sexta-feira,Tiradentes
01/05/2017,segunda-feira,Dia do Trabalho
15/06/2017,quinta-feira,Corpus Christi
07/09/2017,quinta-feira,Independência do Brasil
12/10/2017,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2017,quinta-feira,Finados
15/11/2017,quarta-feira,Proclamação da República
25/12/2017,segunda-feira,Natal
01/01/2018,segunda-feira,Confraternização Universal
12/02/2018,segunda-feira,Carnaval
13/02/2018,terça-feira,Carnaval
30/03/2018,sexta-feira,Paixão de Cristo
21/04/2018,sábado,Tiradentes
01/05/2018,terça-feira,Dia do Trabalho
31/05/2018,quinta-feira,Corpus Christi
07/09/2018,sexta-feira,Independência do Brasil
12/10/2018,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2018,sexta-feira,Finados
15/11/2018,quinta-feira,Proclamação da República
25/12/2018,terça-feira,Natal
01/01/2019,terça-feira,Confraternização Universal
04/03/2019,segunda-feira,Carnaval
05/03/2019,terça-feira,Carnaval
19/04/2019,sexta-feira,Paixão de Cristo
21/04/2019,domingo,Tiradentes
01/05/2019,quarta-feira,Dia do Trabalho
20/06/2019,quinta-feira,Corpus Christi
07/09/2019,sábado,Independência do Brasil
12/10/2019,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2019,sábado,Finados
15/11/2019,sexta-feira,Proclamação da República
25/12/2019,quarta-feira,Natal
01/01/2020,quarta-feira,Confraternização Universal
24/02/2020,segunda-feira,Carnaval
25/02/2020,terça-feira,Carnaval
10/04/2020,sexta-feira,Paixão de Cristo
21/04/2020,terça-feira,Tiradentes
01/05/2020,sexta-feira,Dia do Trabalho
11/06/2020,quinta-feira,Corpus Christi
07/09/2020,segunda-feira,Independência do Brasil
