date,quota_value,net_worth,fund_name,fund_class
8/31/2020,1.7108984,217385837.9,Fundo 1,Fundo de Ações
8/31/2020,1.7087463,184860473.1,Fundo 2,Fundo de Ações
8/31/2020,1.7636179,5398929000,Fundo 3,Fundo de Ações
8/31/2020,1.2873301,29751264.71,Fundo 4,Fundo de Ações
8/31/2020,1.23682778,95342577.16,Fundo 5,Fundo de Ações
8/31/2020,1.1581535,128802265.1,Fundo 6,Fundo Multimercado
8/31/2020,1.6680389,34366201.41,Fundo 7,Fundo Multimercado
8/31/2020,1.046649,249921099.6,Fundo 8,Fundo de Ações
8/31/2020,1.23011086,490912542.1,Fundo 9,Fundo Multimercado
8/31/2020,1.7009221,665561322.6,Fundo 10,Fundo de Ações
8/31/2020,1.1968784,660326280.4,Fundo 11,Fundo Multimercado
8/31/2020,116.1069538,34675442.44,Fundo 12,Fundo Multimercado
8/31/2020,525.3338915,27624183.43,Fundo 13,Fundo de Ações
8/31/2020,15.1820848,828842222.9,Fundo 14,Fundo de Ações
8/31/2020,1.28260449,403196108.2,Fundo 15,Fundo de Ações
8/31/2020,2.2005205,1365309.42,Fundo 16,Fundo de Ações
8/31/2020,1.18392972,20681550.83,Fundo 17,Fundo Multimercado
8/31/2020,1.13939127,97812992.28,Fundo 18,Fundo Multimercado
8/31/2020,1.52928805,48691890.96,Fundo 19,Fundo de Ações
8/31/2020,132.498579,2932212340,Fundo 20,Fundo Multimercado
8/31/2020,1.50706308,51808850.41,Fundo 21,Fundo de Ações
8/31/2020,117.737062,77230863.38,Fundo 22,Fundo Multimercado
8/31/2020,13.659881,67085029.45,Fundo 23,Fundo de Ações
8/31/2020,13.692964,1417382544,Fundo 24,Fundo de Ações
8/31/2020,7.953886,203093526.7,Fundo 25,Fundo de Ações
8/31/2020,1.0778055,105840880.4,Fundo 26,Fundo Multimercado
8/31/2020,111.958043,439020230.5,Fundo 27,Fundo Multimercado
8/31/2020,1.1867666,314560370,Fundo 28,Fundo de Ações
8/31/2020,1.06909965,101527212.6,Fundo 29,Fundo Multimercado
8/31/2020,1.116584,631251437.9,Fundo 30,Fundo Multimercado
8/31/2020,1.95682189,5512403557,Fundo 31,Fundo Multimercado
8/31/2020,1.0826931,26292300.35,Fundo 32,Fundo Multimercado
8/31/2020,113.62548,119461412.3,Fundo 33,Fundo Multimercado
8/31/2020,12.5993291,137880022.7,Fundo 34,Fundo Multimercado
8/31/2020,1.6904941,112990556,Fundo 35,Fundo de Ações
8/31/2020,1.9905439,886663104.3,Fundo 36,Fundo de Ações
8/31/2020,1.3418329,1848148893,Fundo 37,Fundo Multimercado
8/31/2020,1.458713,447564867.6,Fundo 38,Fundo de Ações
8/31/2020,1.1518698,96498357.02,Fundo 39,Fundo Multimercado
8/31/2020,200.100897,971427282.1,Fundo 40,Fundo de Ações
8/31/2020,124.684518,118753951.8,Fundo 41,Fundo de Ações
